"MATERIAL
CLASSIFICATION","OCCUPANCY OR
APPLICATION",EXEMPTION
Combustible fiber,Baled Cotton,"Densely packed baled cotton shall not be classified as combustible fiber,
provided the bales comply with the packing requirements of ISO 8115."
Corrosive,"Personal and household
products","The quantity of personal and household products that are classified as
corrosive materials is not limited in retail displays, provided that the
products are in the original packaging."
,"Retail and wholesale sales
occupancies","The quantity of medicines, foodstuffs or consumer products and cosmetics
containing not more that 50 percent by volume of water-miscible liquids,
with the remainer of the solutions not being flammable, is not limited.
To qualify for this allowance, such materials shall be packaged in individual
containers not exceeding 1.3 gallons."
Explosives,Group M and R-3,"Storage of black powder, smokeless propellant and small arms primers is
not limited."
