4.3: Vertical Mixed Use Building,All standards,"Core Transit Corridor, Future Core
Transit Corridor","- Mixed Use Combining District
- Vertical Mixed Use Overlay District
- Properties that opt in to VMU
pursuant to 4.3.5.C.3."
,,"Highway, Hill Country Roadway,
Suburban Roadway, or Urban
Roadway","- Mixed Use Combining District
- Sites of three acres or more,
subject to 4.3.2.B.
- Properties that opt in to VMU
pursuant to 4.3.5.C.3."
