CLIMATE ZONE,2
VERTICAL FENESTRATION U-FACTOR,0.40
SKYLIGHT U-FACTOR,0.60
GLAZED VERTICAL FENESTRATION SHGC,0.25
SKYLIGHT SHGC,0.28
CEILING U-FACTOR,0.030
ATTIC ROOFLINE U-FACTOR,0.045
WOOD FRAME WALL U-FACTOR,0.075
MASS WALL U-FACTOR c,0.165
FLOOR U-FACTOR,0.064
BASEMENT WALL U-FACTOR d,0.36
UNHEATED SLAB F-FACTOR e,0.73
HEATED SLAB F-FACTOR e,0.74
CRAWL SPACE U-FACTOR,0.477
