CLIMATE ZONE,2
VERTICAL FENESTRATION U-FACTOR,0.35
SKYLIGHT U-FACTOR,0.60
GLAZED VERTICAL FENESTRATION SHGC,0.25
SKYLIGHT SHGC,0.28
CEILING U-FACTOR,0.030
ATTIC ROOFLINE U-FACTOR,0.045
WOOD FRAME WALL U-FACTOR b,0.066
MASS WALL U-FACTOR,0.165
FLOOR U-FACTOR,0.064
BASEMENT WALL U-FACTOR c,0.360
UNHEATED SLAB F-FACTOR d,0.73
HEATED SLAB F-FACTOR d,0.74
CRAWL SPACE U-FACTOR,0.477
"For SI: 1 foot = 304.8 mm.
a Non-fenestrationU-factors and F-factors shall be obtained from measurement, calculation, or an approved source or Appendix RF where such
appendix is adopted or approved.
b Mass walls shall be in accordance with Section R402.2.6. Where more than half the insulation is on the interior, the mass wall U-factors shall
not exceed 0.14 in Climate Zone 2.",
"c In Warm Humid locations as defined by Figure R301.1 and Table R301.1, the basement wallU-factor shall not exceed 0.360.",
d F-factors for slabs correspond to the R-values of Table R402.1.3(2) and the installation conditions of Section R402.2.10.1.,
