• Dance halls with liquor sales,See cocktail lounge,
• Theater (live or motion picture),1 space for each 4 seats within auditorium,
"Indoor sports and recreation (except billiard
parlor or bowling alley)",1 space for each 500 sq. ft.,Schedule B
• Billiard Parlor,1 space for each 100 sq. ft.,
• Bowling Alley,1 space for each 275 sq. ft.,
Kennels,"1 space for each 1,000 sq. ft.",Schedule B
Laundry services,Schedule A,Schedule C
Liquor sales,1 space for each 275 sq. ft.,Schedule C
Marina,0.7 spaces for each boat slip,None
Medical offices,,Schedule C
"• Free-standing medical clinic or office or a
limited hospital facility",1 space for each 200 sq. ft.,
"• Within a shopping center or mixed use
building",1 space for each 275 sq. ft.,
Monument retail sales,Schedule A,Schedule C
"Outdoor entertainment
Outdoor sports and recreation",Schedule B,Schedule B
"Pawn shop services
Personal improvement services
Personal services
Pet services",1 space for each 275 sq. ft.,Schedule C
Pedicab storage & dispatch,Schedule B,Schedule B
"Plant nursery
Printing and publishing
Recreational equipment maintenance and
storage
Recreational equipment sales",Schedule A,Schedule C
Regional shopping mall,1 space for each 275 sq. ft.,Schedule C
"Research services
Research assembly services
Research testing services",1 space for each 275 sq. ft.,Schedule C
Research warehousing services,Schedule A,Schedule C
Restaurant,,Schedule C
