Standard,Applies if the Principal Street Is:,Applies to the Following:
2.4.: Building Entryways,Core Transit Corridor,All zoning districts
,"- Urban Roadway
- Suburban Roadway
- Internal Circulation Route
- Highway
- Hill Country Roadway districts",All non-residential zoning
