"Minimum Interior Side
Yard Sideback",5 FT 2,0 FT,5 FT,5 FT
"Maximum Building
Coverage",55%,55%,55%,55%
"Maximum Building
Footprint","5,000 SF","5,000 SF","5,000 SF","5,000 SF 4"
"Maximum Impervious
Cover",65%,65%,65%5,65%
