Building Thermal Envelope,
R402.1.1,Vapor retarder
R402.1.6,Rooms containing fuel burning appliances
R402.2.3,Attic knee wall
R402.2.4,Eave baffle
R402.2.5.1,Access hatches and door insulation installation and retention
R402.2.10,Slab-on-grade floors
R402.2.11,Crawl space walls
R402.3,Radiant barriers
R402.5.1.1,Installation
R402.5.1.2,Air leakage testing
R402.5.1.3,Maximum air leakage rate
R402.5.2,Fireplaces
R402.5.3,Fenestration air leakage
R402.5.4,Recessed lighting
R402.5.5,Air-sealed electrical and communication outlet boxes
R402.6,Maximum fenestration U-factor and SHGC
Mechanical,
R403.1,Controls
R403.2,Hot water boiler temperature reset
R403.3,Duct systems and Additional HVAC Testing
R403.4,Mechanical system piping insulation
R403.5,Service hot water system
R403.6,Mechanical ventilation
"R403.7, except Section R403.7.1",Equipment sizing and efficiency rating
R403.8,Systems serving multiple dwelling units
R403.10,Energy consumption of pools and spas
R403.11,Portable spas
R403.12,Residential pools and permanent residential spas
