"Ground
Snow
Load o",Wind Design,,,,"Seismic
Design
Category",Subject to Damage From,,,"Ice Barrier
Underlayment
Required h","Flood
Hazards g","Air
Freezing
Index i","Me
An
Tem"
,"Speed
d
(mph)","Topographic
Effects k","Special
Wind
Region
l","Windborne
Debris
zone m",,"Weathering
a","Frost
Line
Depth
b","Termite
c",,,,
5,105,No,No,No,A,Negligible,"12 in
(305
mm)",Yes,No,"Construction
Commenced
After
9/2/1981",30,68.
MANUAL J DESIGN CRITERIA,,,,,,,,,,,,
Elevation,"Altitude correction
factor",,Coincident wetbulb,,"Indoor winter design
drybulb temperature",,"Indoor winter
design dry-bulb
temperature",,"Outdoor winter design dry-
bulb temperature",,"Heating
temperature
difference",
597,M,,74,,,,72,,30,,42,
Latitude,Daily range,,"Indoor summer
design relative
humidity",,"Indoor summer design
relative humidity",,"Indoor summer
design dry-bulb
temperature",,"Outdoor summer design dry-
bulb temperature",,"Cooling
temperature
difference",
30,M,,,,50,,74,,100,,26,
