EQUIPMENT TYPE,CONTROLS,
,Manufactured before 7/1/2025,Manufactured on or after 7/1/2025
Electric storage water heaters,"AHRI Standard 1430 or
ANSI/CTA-2045-B
Level 1 and also capable of initiating water
heating to meet the temperature setpoint in
response to a demand response signal",AHRI Standard 1430
