Standard,Applies if the Principal Street Is:,Applies to the Following:
"2.2.5. Internal Circulation Routes: Sidewalks
and Building Placement Requirements for
Large Sites","Development of a site five acres or larger with
frontage on a Core Transit Corridor or Urban
Roadway","- All zoning districts
- See additional exemptions in Subsection C of
this section."
,"Development of a site five acres or larger with
frontage on a Suburban Roadway, Highway,
or Hill Country Roadway","- All non- residential zoning districts
- See additional exemptions in subsection C
and I of this section"
